Wavelength,Intensity,Wavelength,Intensity,Wavelength,Intensity
772.81067,0.00201,779.40442,0.00434,772.81067,-0.01583
772.85096,0.002,779.41303,0.00491,772.85096,-0.02677
772.89125,0.00207,779.42164,0.00472,772.89125,0.01927
772.93154,0.00183,779.43025,0.00478,772.93154,0.02313
772.97182,0.00188,779.43886,0.00424,772.97182,0.0013
773.01211,0.00183,779.44747,0.00384,773.01211,0.0073
773.0524,0.00214,779.45608,0.00468,773.0524,0.00463
773.09268,0.00225,779.46469,0.00405,773.09268,-0.00127
773.13297,0.00201,779.4733,0.00423,773.13297,-0.03403
773.17325,0.00188,779.48191,0.00399,773.17325,-0.00435
773.21354,0.00183,779.49052,0.00487,773.21354,-0.01767
773.25382,0.00204,779.49913,0.00457,773.25382,-0.03465
773.2941,0.0021,779.50774,0.00454,773.2941,-0.02474
773.33439,0.00234,779.51635,0.00415,773.33439,-0.00738
773.37467,0.00246,779.52495,0.00429,773.37467,-0.00231
773.41495,0.00258,779.53356,0.00565,773.41495,-0.01212
773.45524,0.00249,779.54217,0.00498,773.45524,-0.01489
773.49552,0.00257,779.55078,0.00536,773.49552,-0.0136
773.5358,0.00248,779.55938,0.00474,773.5358,-0.00621
773.57608,0.00255,779.56799,0.00416,773.57608,0.01691
773.61636,0.00266,779.57659,0.00544,773.61636,-0.00909
773.65664,0.00249,779.5852,0.00529,773.65664,-0.01304
773.69692,0.00237,779.59381,0.00563,773.69692,-0.0266
773.7372,0.00235,779.60241,0.00578,773.7372,0.00274
773.77748,0.00246,779.61102,0.0065,773.77748,-0.03861
773.81776,0.00259,779.61962,0.00623,773.81776,-0.02122
773.85804,0.00244,779.62822,0.00621,773.85804,-0.01427
773.89831,0.00251,779.63683,0.00626,773.89831,0.00113
773.93859,0.00265,779.64543,0.00682,773.93859,-0.01832
773.97887,0.00286,779.65404,0.00765,773.97887,-0.03714
774.01915,0.00276,779.66264,0.00648,774.01915,0.00441
774.05942,0.00279,779.67124,0.00666,774.05942,-0.01569
774.0997,0.00273,779.67984,0.00633,774.0997,-0.02132
774.13997,0.00298,779.68845,0.00582,774.13997,0.00105
774.18025,0.00276,779.69705,0.00577,774.18025,-0.0376
774.22052,0.00276,779.70565,0.00543,774.22052,-0.00577
774.2608,0.00291,779.71425,0.00645,774.2608,-0.01191
774.30107,0.00298,779.72285,0.00562,774.30107,0.00157
774.34135,0.003,779.73145,0.00625,774.34135,-0.01742
774.38162,0.00281,779.74005,0.00589,774.38162,-0.02319
774.42189,0.00304,779.74865,0.00585,774.42189,0.00873
774.46217,0.00306,779.75725,0.00588,774.46217,-0.01795
774.50244,0.00322,779.76585,0.00571,774.50244,-0.00108
774.54271,0.00321,779.77445,0.00468,774.54271,-0.00876
774.58298,0.00326,779.78305,0.00439,774.58298,-0.02492
774.62325,0.00339,779.79165,0.00471,774.62325,-0.01455
774.66352,0.00335,779.80025,0.00453,774.66352,-0.00863
774.70379,0.0034,779.80884,0.00466,774.70379,-7.21E-04
774.74406,0.00337,779.81744,0.00502,774.74406,0.00298
774.78433,0.00334,779.82604,0.00435,774.78433,-0.00203
774.8246,0.00358,779.83464,0.00363,774.8246,-0.00991
774.86487,0.00365,779.84323,0.00371,774.86487,-0.01858
774.90514,0.00369,779.85183,0.00403,774.90514,-0.00377
774.94541,0.00357,779.86043,0.00476,774.94541,-0.02949
774.98567,0.00361,779.86902,0.00355,774.98567,-0.00271
775.02594,0.0037,779.87762,0.00267,775.02594,-0.01441
775.06621,0.00353,779.88621,0.00223,775.06621,-0.00424
775.10647,0.0037,779.89481,0.00181,775.10647,-0.01238
775.14674,0.0037,779.9034,0.00207,775.14674,-0.02085
775.18701,0.00368,779.912,0.00211,775.18701,-0.01549
775.22727,0.00373,779.92059,0.00246,775.22727,-0.03123
775.26754,0.0038,779.92918,0.00236,775.26754,-0.02268
775.3078,0.00385,779.93778,0.00236,775.3078,-0.01223
775.34806,0.0039,779.94637,0.00294,775.34806,-0.02424
775.38833,0.00409,779.95496,0.00342,775.38833,0.00454
775.42859,0.0042,779.96356,0.00292,775.42859,-0.0106
775.46885,0.00423,779.97215,0.0021,775.46885,-0.00834
775.50912,0.00415,779.98074,0.0023,775.50912,0.01308
775.54938,0.00408,779.98933,0.00256,775.54938,-0.00786
775.58964,0.00403,779.99792,0.00263,775.58964,-0.00885
775.6299,0.00435,780.00651,0.00302,775.6299,-0.00648
775.67016,0.00451,780.0151,0.00437,775.67016,0.00433
775.71042,0.00429,780.02369,0.00447,775.71042,-0.02137
